I2Ts_Inc	I2Ts_Inc
保留地址(This_network)	Reserved Address (This_network)
ThinkDream数据中心	ThinkDream Data Center
Orange	Orange
Apple	Apple
NTTDoCoMo	NTT DoCoMo
Akamai节点	Akamai Node
LG_DACOM	LG_DACOM
Energia通讯	Energia Communications
移动	China Mobile
教育网	CERNET (China Education and Research Network)
Telstra	Telstra
InfoSphere(NTT)	InfoSphere(NTT)
亚太互联网络信息中心(CloudFlare节点)	Asia-Pacific Network Information Centre (CloudFlare Node)
Goldenit有限公司	Goldenit Co., Ltd.
鹏博士BGP	Dr.Peng BGP
虎ノ門eAccess有限公司	Toranomon eAccess Co., Ltd.
SK_Broadband数据中心	SK_Broadband Data Center
IETF	IETF
维实嘉业有限公司电信专线	Wisecomm Telecom Co., Ltd. Dedicated Line
Kakao公司	Kakao Corporation
CNNIC权威云解析	CNNIC Authoritative Cloud DNS
Singtel宽带	Singtel Broadband
Sify	Sify
APNIC	APNIC
中华电信	Chunghwa Telecom
Tikona数字网络	Tikona Digital Networks
KT通信KORNET	KT/KORNET
APNIC_Debogon-prefix网络	APNIC_Debogon-prefix Network
北龙中网	Beijing Zhongwang
Google缓存服务器(泰国电信公共有限公司-泰国电讯公司TOT)	Google Cache Server (Telecom Public Company Limited - TOT)
SK_Broadband数据中心Google缓存节点	SK_Broadband datacenter Google cache node
TOT公共有限公司	TOT
DVOIS-NET	DVOIS-NET
北龙中网(北京)科技有限公司	Beijing Zhongwang Information Technology Co., Ltd.
TOT-AS-AP	TOT-AS-AP
Akamai公司全球Anycast节点	Akamai Global Anycast Node
DAOU	DAOU
2026年04月01日IP数据	2026-04-01 IP Data
TOTNET	TOTNET
电信	China Telecom
华为云	Huawei Cloud
Globe电讯	Globe Telecom
i2ts	i2ts
TOT移动	TOT Mobile
腾讯云	Tencent Cloud
方正宽带	Founder Broadband
网络信息中心	Network Information Center
电讯盈科有限公司	PCCW Limited
APNIC&CloudFlare公共DNS服务器	APNIC & CloudFlare Public DNS Server
iseek通信	iseek
全通通信公众公司DTAC-GPRS-NET	DTAC-GPRS-NET
ARTERIA网络公司	ARTERIA Networks Corporation
Tmnet大马电讯	Tmnet Malaysia Telecom
新南威尔士州OPTUS_INTERNET零售互联网服务	OPTUS_INTERNET Retail Internet Service in New South Wales
联通	China Unicom
OpenInternetAccessAPN沃达丰	Vodafone
Hostinger	Hostinger
CJ-HELLOVISION	CJ-HELLOVISION
BGP-NET数据中心	BGP-NET Data Center
维实嘉业网络科技有限公司电信	Vsparkle Network Technology Co., Ltd. Telecom
台湾之星	Taiwan Star Telecom
歌华有线	Beijing Gehua CATV Network
中电华通	China Electric Power & Telecommunications
亚马逊云	Amazon Web Services
沃达丰	Vodafone
OWS	OWS
Partner通信	Partner Communications
LSHIY	LSHIY
Selectel	Selectel
RapidSeedbox	RapidSeedbox
Amazon数据中心	Amazon Data Center
Amazon_EC2服务器	Amazon_EC2
DMIT数据中心	DMIT Data Center
DediPath	DediPath
justhost	justhost
Orbitalnet	Orbitalnet
M247	M247
阿联酋电信公司	Emirates Telecommunications Group Company (Etisalat)
europe-pool-ntp-org服务器	europe-pool-ntp-org
Integrated_Telecom_Co_Ltd	Integrated Telecom Co Ltd
哈利法科技大学	Khalifa University of Science and Technology
IPXO	IPXO
中国电信欧洲公司	China Telecom Europe
Cyberzonehub	Cyberzonehub
Beget	Beget
sure	sure
WIKIHOST	WIKIHOST
JT_Global	JT_Global
矩阵云BGP数据中心	Matrix Cloud BGP Data Center
AMazon数据中心	AMazon数据中心
CableCom通信	CableCom Communications
Akari	Akari
通用电气公司	General Electric Company
Microsoft-BYOIP	Microsoft-BYOIP
OVH机房SAS硬盘BGP主机	OVH SAS Hard Disk BGP Host
Level3	Level3
IDom	IDom
LiteServer	LiteServer
Level3公共NS服务器dialns1节点	Level3 Public DNS Server dialns1 Node
Oracle云计算数据中心	Oracle Cloud Computing Data Center
FASTVPS数据中心	FASTVPS Datacenter
Level3(DIA)	Level3(DIA)
Saudi_Telecom_Company_JSC	Saudi Telecom Company JSC
EdgeCast网络公司CDN节点	EdgeCast Networks CDN Node
Rackspace_Hosting公司	Rackspace_Hosting
Etihad_Etisalat_a_joint_stock_company	Etihad Etisalat
DigitalOcean数据中心	DigitalOcean
克利夫兰医学中心	Cleveland Clinic
Continent8数据中心	Continent8 Data Centers
Level3主干网	Level3 backbone
CN2CTClouds	CN2CTClouds
Level3(Tokyo4)主干网	Level3 (Tokyo4) Backbone Network
Vetta	Vetta
Hytron_Network_Services	Hytron_Network_Services
Hetzner数据中心	Hetzner
SoftLayer科技公司	SoftLayer Technologies, Inc.
LeaseWeb(AMS1)数据中心	LeaseWeb(AMS1) data center
DNS服务器	DNS server
Zenlayer	Zenlayer
NTT	NTT
Microsoft	Microsoft
领地网节点	Lingdi Network Node
MoeDove_Network	MoeDove_Network
Supercell_Network	Supercell_Network
SoftLayer数据中心	SoftLayer Data Center
MEDIASERV	MEDIASERV
YUWAN_NETWORK	YUWAN_NETWORK
VladLink_LTD_AS	VladLink_LTD_AS
Bayanat_Al-Oula_For_Network_Services	Bayanat_Al-Oula_For_Network_Services
DigitalOcean	DigitalOcean
INTERSVYAZ	INTERSVYAZ
阿联酋铝业公司	Emirates Global Aluminium
NTT欧洲公司互联节点	NTT Europe
ovh	OVH
G_Core_Lab数据中心	G_Core_Lab Data Center
AS40065	AS40065
Zenlayer_Inc	Zenlayer_Inc
Inficron公司	Inficron
Nyatwork	Nyatwork
Cincinnati通信有限责任公司	Cincinnati Communications Co., Ltd.
G-Core_Labs	G-Core Labs
中国电信CTG	China Telecom Global
Max_Net	Max_Net
Openfactory	Openfactory
G-Core_Lab	G-Core Labs
HydraCom	HydraCom
DoD网络信息中心	DoD Network Information Center
PIN数据中心	PIN Data Center
The_Weather公司	The_Weather Company
Digital_VM	Digital_VM
SharkTech数据中心	SharkTech Data Center
xTom	xTom
Syniverse科技公司	Syniverse
OrangeNet	OrangeNet
EdgeCast网络	EdgeCast Networks
Zscaler	Zscaler
路数互联	Lushu Internet
美国国防部网络中心	United States Department of Defense Network Information Center
OVH欧路云高防节点	OVH European Cloud High Defense Node
Aeza	Aeza
GTT通讯公司骨干网	GTT Communications Backbone Network
i3D	i3D
Incomm公司	Incomm
Shaw	Shaw
GHOSTnet_GmbH	GHOSTnet_GmbH
FreeTVRadio	FreeTVRadio
Level_通信股份有限公司	Level Communications Co., Ltd.
Level3(语音通信业务)	Level3 (Voice Communications Service)
idc-wiki	idc-wiki
雅虎公司	Yahoo!
Co-Location	Co-Location
eBay主管网(Level3承载)	eBay Main Network (via Level3)
eBay(Level3)	eBay (Level3)
法商OVH主机	OVH
Aryaka网络公司	Aryaka Networks
阿里云	Alibaba Cloud
谷歌公司DNS服务器	Google DNS
CloudIPLC	CloudIPLC
Stifel金融公司Level3节点	Stifel Financial Corporation Level 3 Node
谷歌公司	Google LLC
G_Core_Lab	G_Core_Lab
TeleTech通信公司	TeleTech Communications Company
Cloudflare_Warp节点	Cloudflare_Warp node
Keep健身CDN(Level3)	Keep Fitness CDN (Level3)
Voxility公司DDoS清洗中心	Voxility DDoS Mitigation Center
Squarespace(Level3)	Squarespace(Level3)
IBM公司	IBM Corporation
Vultr数据中心	Vultr Data Center
阿里云数据中心	Alibaba Cloud Data Center
Leepfrog_Technologies	Leepfrog_Technologies
ATT公司DNS服务器	ATT Corporation DNS Server
Feedly	Feedly
Level3网络公司	Level 3 Communications
Friends_University	Friends_University
卡森纽曼学院	Carson Newman College
局域网IP(Private-Use)	Local Area Network IP (Private-Use)
哥伦比亚联合学院	United College of Colombia
AT&T_Services	AT&T
南佛蒙特学院	Southern Vermont College
Salve_Regina_University	Salve_Regina_University
ATT用户	AT&T
InFlow_STL01	InFlow_STL01
Shaner酒店集团	Shaner Hotel Group
Lenoir-Rhyne_College	Lenoir-Rhyne_College
哈佛大学	Harvard University
Marlboro_College	Marlboro_College
Springfield_College	Springfield_College
Xerox	Xerox
Quad9(IBM)公共DNS	Quad9 (IBM) Public DNS
BARBOURVILLE_UTILITIES	BARBOURVILLE_UTILITIES
美国佛教慈济基金会	Tzu Chi Foundation USA
太平洋联合学院	Pacific Union College
AT&T公司	AT&T
CARILION_HEALTH_SYSTEM	CARILION_HEALTH_SYSTEM
STONEHILL_COLLEGE	STONEHILL_COLLEGE
亚马逊云科技新加坡Cloudfront_CDN网络节点	Amazon Web Services Singapore CloudFront CDN Network Node
CloudFront节点	CloudFront node
Spelman_College	Spelman_College
AT&T公司DNS服务器	AT&T DNS Servers
Houghton_College	Houghton_College
Amazon	Amazon
Microsoft_Anycast_CDN节点	Microsoft_Anycast_CDN
amazon	Amazon
CloudFront(SIN52)节点	CloudFront(SIN52)
Lycoming_College	Lycoming_College
休斯顿	Houston
斯坦福大学	Stanford University
AWS	AWS
AAA_AI_SOFTWARE_SOLUTIONS	AAA AI SOFTWARE SOLUTIONS
斯波丁尔大学	Spalding University
美国电话电报公司(AT&T)用户	AT&T User
CDNetworks公司CDN网络节点	CDNetworks CDN Network Node
CloudFront(MNL50)节点	CloudFront(MNL50)
Microsoft全球Anycast节点	Microsoft Global Anycast Node
CloudFront(SFO20)节点	CloudFront(SFO20) node
MOBIUS网络	MOBIUS Network
CloudFront(HKG62)节点	CloudFront(HKG62) node
长城宽带	Great Wall Broadband
CDNetwork	CDNetwork
First_Technology_Solutions	First_Technology_Solutions
CloudIE数据中心	CloudIE Data Center
KDDI通信公司	KDDI Communications
Amazon全球Anycast节点	Amazon Global Anycast Node
KT电信	KT Telecom
微软AzureDNS_Anycast节点	Microsoft AzureDNS Anycast Node
网宿科技CDN节点	ChinaNetCenter CDN Node
CloudFront(SFO5)节点	CloudFront(SFO5) node
CDNetworks节点	CDNetworks
CDNetworks公司	CDNetworks
I-Services网络公司	I-Services Network Company
VNPT	VNPT
