BRAS	BRAS
IDC机房	IDC computer room
联通林东镇新城区BRAS数据机房	China Unicom Lindong Town Xincheng District BRAS Data Computer Room
蓝汛通信联通CDN节点	Lanxun Communications Unicom CDN node
林东镇新城区BRAS数据机房	BRAS data computer room in Xincheng District, Lindong Town
CloudFlare公共DNS服务器	CloudFlare public DNS server
林东镇联通-BRAS网关(左旗专用)	Lindong Town China Unicom-BRAS Gateway (exclusively for Zuoqi)
北京知道创宇信息技术股份有限公司联通节点	Beijing Know Chuangyu Information Technology Co., Ltd. China Unicom Node
南京艺术学院	Nanjing University of the Arts
常州大学	Changzhou University
合肥师范学院	Hefei Normal University
山东大学	Shandong University
江苏第二师范学院	Jiangsu Second Normal University
全球Anycast节点	Global Anycast nodes
滁州职业技术学院	Chuzhou Vocational and Technical College
Akamai联通CDN节点	Akamai Unicom CDN node
BRAS网关	BRAS gateway
海岸网络	coast network
山东女子学院	Shandong Women's University
迪越雅致酒店	Diyue Elegant Hotel
德州学院	Texas College
中国教育和科研计算机网骨干网	China Education and Scientific Research Computer Network Backbone Network
潍坊学院	Weifang University
西北大学	northwestern university
青田文化艺术传播有限公司	Qingtian Culture and Art Communication Co., Ltd.
大世界网吧(徐家庄)	Big World Internet Cafe (Xujiazhuang)
逐峰电竞	Zhufeng Esports
哈尔滨学院	Harbin University
赢向未来网络会所(韦曲街道何家营新村)	Win to the Future Network Club (Hejiaying New Village, Weiqu Street)
哈尔滨理工大学	Harbin University of Science and Technology
BOBO网尚	BOBO online fashion
深圳市腾讯计算机系统有限公司电信节点	Shenzhen Tencent Computer Systems Co., Ltd. Telecom Node
西安外国语大学	Xi'an International Studies University
专线	dedicated line
暨南大学	Jinan University
首都国际机场	Capital International Airport
广西大学	Guangxi University
AS3214	AS3214
杭州银行股份有限公司北京分行(朝阳门北大街3号第五广场大厦A座)	Hangzhou Bank Co., Ltd. Beijing Branch (Building A, Fifth Plaza Building, No. 3 Chaoyangmen North Street)
